,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1974.0,35.0,26.0,0.0,85.0
1,1954.0,34.0,46.0,1.0,119.0
2,1940.0,26.0,60.0,2.0,145.0
3,1926.0,30.0,74.0,3.0,175.0
4,1917.0,27.0,83.0,4.0,202.0
5,1902.0,19.0,98.0,5.0,221.0
6,1895.0,14.0,105.0,6.0,235.0
7,1889.0,11.0,111.0,7.0,246.0
8,1884.0,7.0,116.0,8.0,253.0
9,1881.0,9.0,119.0,9.0,262.0
10,1877.0,5.0,123.0,10.0,267.0
11,1874.0,9.0,126.0,11.0,276.0
12,1868.0,13.0,132.0,12.0,289.0
13,1862.0,9.0,138.0,13.0,298.0
14,1861.0,10.0,139.0,14.0,308.0
15,1856.0,5.0,144.0,15.0,313.0
16,1854.0,1.0,146.0,16.0,314.0
17,1853.0,0.0,147.0,17.0,314.0
18,1853.0,0.0,147.0,18.0,314.0
19,1853.0,0.0,147.0,19.0,314.0
20,1853.0,0.0,147.0,20.0,314.0
